pageurl,crawl_timestamp,job_title,category,company_name,city,post_day,post_month,post_year,post_date,job_type,job_board,geo,salary_offered_min,salary_offered_max,Mean_Salary,state,lat,long
https://www.seek.com.au/job/36018356,2018-04-20 04:14:30 +0000,Developer Programmer,Information & Communication Technology,Bluetech IT Solution,ACT,19,April,2018,19-Apr-18,Full Time,seek,AU,"65,000","74,999","70,000",QLD,-20.917574,142.702789
https://www.seek.com.au/job/36028693,2018-04-20 03:52:46 +0000,Department Manager - Bakery - Campbelltown Region,Retail & Consumer Products,Coles,Sydney,19,April,2018,19-Apr-18,Full Time,seek,AU,"55,000","60,000","57,500",NSW,-31.840233,145.612793
https://www.seek.com.au/job/36027858,2018-04-20 04:12:01 +0000,Freight Handler,"Manufacturing, Transport & Logistics",Zoom Recruitment & Training,Sydney,19,April,2018,19-Apr-18,Casual/Vacation,seek,AU,34,39,36.5,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36026625,2018-04-20 04:25:15 +0000,Business Analyst,Information & Communication Technology,Hays Information Technology,ACT,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,95,100,97.5,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36028318,2018-04-20 03:55:39 +0000,Executive Officer,Administration & Office Support,Engineers Australia,ACT,19,April,2018,19-Apr-18,Full Time,seek,AU,"75,000","85,000",80000,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36027190,2018-04-20 04:05:15 +0000,"Administrative Officer, Education unit",Administration & Office Support,ANZCA,Melbourne,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,25,30,27.5,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36027240,2018-04-20 04:05:49 +0000,Customer Service Representative - ACT,Sales,Brickworks Limited,ACT,19,April,2018,19-Apr-18,Full Time,seek,AU,"85,000","90,000",87500,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36028164,2018-04-20 03:45:12 +0000,Mortgage Broker Assistant,Banking & Financial Services,Howitt Partners,Melbourne,19,April,2018,19-Apr-18,Part Time,seek,AU,"55,000","65,000",60000,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36025868,2018-04-20 04:31:05 +0000,Manager Violence Abuse and Neglect,Healthcare & Medical,Hunter New England Local Health District,Melbourne,19,April,2018,19-Apr-18,Full Time,seek,AU,"180,00 ","2,40,000",240000,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36026492,2018-04-20 04:15:42 +0000,Certificate III Educators - Full Time and Part Time Opportunities,Education & Training,Northside Community Service,ACT,19,April,2018,19-Apr-18,Full Time,seek,AU,"71,451","89,238",80344.5,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36027844,2018-04-20 04:03:48 +0000,Emergency Medicine Registrar (PGY4+),Healthcare & Medical,Global Medics Australia,ACT,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,90,150,120,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36025490,2018-04-20 04:43:59 +0000,Parts Interpreter,Trades & Services,AHG QLD,Brisbane,19,April,2018,19-Apr-18,Full Time,seek,AU,"85,000","1,19,999",102499.5,QLD,-20.917574,142.702789
https://www.seek.com.au/job/36025840,2018-04-20 04:43:05 +0000,Safety Officer - Suzlon Energy Australia,Human Resources & Recruitment,Yudo,Melbourne,19,April,2018,19-Apr-18,Full Time,seek,AU,"90,000","1,00,000",95000,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36026083,2018-04-20 04:20:03 +0000,Sales Assistants - MIDAS Warringah,Retail & Consumer Products,MIDAS,Sydney,19,April,2018,19-Apr-18,Full Time,seek,AU,"1,00,000","1,20,000",110000,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36026992,2018-04-20 03:58:42 +0000,Occupational Therapist - Aged Care,Healthcare & Medical,Western Health,Melbourne,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,90,150,120,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36026394,2018-04-20 04:23:34 +0000,Sub Contractor Installers,Trades & Services,Totally Outdoors,Melbourne,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,40,45,42.5,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36027739,2018-04-20 04:04:49 +0000,Electrician - RIW,Trades & Services,Protech NSW,Sydney,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,40,45,42.5,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36028885,2018-04-20 03:42:59 +0000,IT TECHNICAL SPECIALIST - Microsoft Exchange & Office 365,Information & Communication Technology,Eighty20 Solutions,Sydney,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,78,85,81.5,NSW,-31.840233,145.612793
https://www.seek.com.au/job/36027703,2018-04-20 03:58:19 +0000,"Fulltime Chef with Asian cooking using 17"" wok with handle",Hospitality & Tourism,Chinchin's At Kotomoon,Melbourne,19,April,2018,19-Apr-18,Full Time,seek,AU,"60,000","69,999",64999.5,VIC,"	-37.020100",144.9646
https://www.seek.com.au/job/36027712,2018-04-20 03:58:38 +0000,Senior Client Services Manager - Canberra,Administration & Office Support,Financial Index Wealth Accountants,ACT,19,April,2018,19-Apr-18,Contract/Temp,seek,AU,33,35,34,ACT,-35.282001,149.128998
https://www.seek.com.au/job/36025946,2018-04-20 04:16:09 +0000,Operations Manager,"Mining, Resources & Energy",Metso Australia Limited,Perth,19,April,2018,19-Apr-18,Full Time,seek,AU,"75,000","80,000",77500,WA,-25.042261,117.793221
